ID do Flashcard,Categoria,Baralho,Pergunta do Flashcard,Resposta do Flashcard,Repetições,Intervalo Anterior,Fator de Facilidade Anterior,Qualidade,Anotações
1,Cardiologia,HAS,O que é HAS?,Hipertensão Arterial Sistêmica (HAS) é uma condição em que a pressão arterial é consistentemente muito alta.,0,0,2.5,0,
2,Cardiologia,HAS,Quais são os sintomas da HAS?,"Os sintomas da HAS podem incluir dor de cabeça, falta de ar, tontura, dor no peito, palpitações do coração e nariz sangrando.",0,0,2.5,0,
3,Cardiologia,HAS,Como é feito o diagnóstico da HAS?,"O diagnóstico da HAS é feito através da medição da pressão arterial, geralmente com um aparelho chamado esfigmomanômetro.",0,0,2.5,0,
4,Cardiologia,HAS,Qual é o tratamento para HAS?,O tratamento para HAS geralmente envolve mudanças no estilo de vida e medicamentos para baixar a pressão arterial.,0,0,2.5,0,
5,Cardiologia,HAS,Quais são as possíveis complicações da HAS?,"As complicações da HAS podem incluir doença cardíaca, acidente vascular cerebral, doença renal e problemas de visão.",0,0,2.5,0,
6,Cardiologia,Angina,O que é Angina?,Angina é uma dor ou desconforto no peito que ocorre quando uma área do coração não recebe sangue suficiente.,0,0,2.5,0,
7,Cardiologia,Angina,Quais são os sintomas da Angina?,"Os sintomas da angina podem incluir dor ou desconforto no peito, falta de ar, fadiga e tontura.",0,0,2.5,0,
8,Cardiologia,Angina,Como é feito o diagnóstico da Angina?,"O diagnóstico da angina é feito através de exames como o eletrocardiograma, teste de esforço e angiografia coronária.",0,0,2.5,0,
9,Cardiologia,Angina,Qual é o tratamento para Angina?,"O tratamento para angina pode incluir medicamentos, mudanças no estilo de vida e procedimentos médicos como a angioplastia.",0,0,2.5,0,
10,Cardiologia,Angina,Quais são as possíveis complicações da Angina?,As complicações da angina podem incluir ataque cardíaco e insuficiência cardíaca.,0,0,2.5,0,
11,Cardiologia,Valvopatias,O que são Valvopatias?,"Valvopatias são doenças que afetam as válvulas do coração, impedindo que elas funcionem adequadamente.",0,0,2.5,0,
12,Cardiologia,Valvopatias,Quais são os sintomas das Valvopatias?,"Os sintomas das valvopatias podem incluir falta de ar, fadiga, fraqueza, inchaço nas pernas, palpitações e dor no peito.",0,0,2.5,0,
13,Cardiologia,Valvopatias,Como é feito o diagnóstico das Valvopatias?,O diagnóstico das valvopatias é feito através de exames como o ecocardiograma.,0,0,2.5,0,
14,Cardiologia,Valvopatias,Qual é o tratamento para Valvopatias?,"O tratamento para valvopatias pode incluir medicamentos, mudanças no estilo de vida e procedimentos médicos como a cirurgia de válvula cardíaca.",0,0,2.5,0,
15,Cardiologia,Valvopatias,Quais são as possíveis complicações das Valvopatias?,"As complicações das valvopatias podem incluir insuficiência cardíaca, arritmias e endocardite.",0,0,2.5,0,
16,Neurologia,AVC,O que é AVC?,Acidente Vascular Cerebral (AVC) é uma condição que ocorre quando o fornecimento de sangue para uma parte do cérebro é interrompido.,0,0,2.5,0,
